dialogue_id,context,question,answer,answer_start,evidence_turn,evidence_utterance
tr_4466,"Hey , you wanna see a movie tomorrow ?","The target utterance is 'Hey , you wanna see a movie tomorrow ?'. What is the causal span that triggers the emotion happiness?",see a movie tomorrow ?,16,1.0,"Hey , you wanna see a movie tomorrow ?"
tr_4466,"Hey , you wanna see a movie tomorrow ? Sounds like a good plan . What do you want to see ?",The target utterance is 'Sounds like a good plan . What do you want to see ?'. What is the causal span that triggers the emotion happiness?,see a movie tomorrow ?,16,1.0,"Hey , you wanna see a movie tomorrow ?"
tr_4466,"Hey , you wanna see a movie tomorrow ? Sounds like a good plan . What do you want to see ? How about Legally Blonde . Ah , my girlfriend wanted to see that movie . I have to take her later so I don't want to watch it ahead of time . How about The Cube ? Isn't that a scary movie ? How scary can it be ? Come on , it'll be fun . Ok . I'll give it a try .",The target utterance is 'Ok . I'll give it a try .'. What is the causal span that triggers the emotion happiness?,it'll be fun .,313,6.0,"How scary can it be ? Come on , it'll be fun ."
tr_4466,"Hey , you wanna see a movie tomorrow ? Sounds like a good plan . What do you want to see ? How about Legally Blonde . Ah , my girlfriend wanted to see that movie . I have to take her later so I don't want to watch it ahead of time . How about The Cube ? Isn't that a scary movie ? How scary can it be ? Come on , it'll be fun . Ok . I'll give it a try . That's the spirit . I'll see you tomorrow after class .",The target utterance is 'That's the spirit . I'll see you tomorrow after class .'. What is the causal span that triggers the emotion happiness?,it'll be fun .,313,6.0,"How scary can it be ? Come on , it'll be fun ."
tr_4466,"Hey , you wanna see a movie tomorrow ? Sounds like a good plan . What do you want to see ? How about Legally Blonde . Ah , my girlfriend wanted to see that movie . I have to take her later so I don't want to watch it ahead of time . How about The Cube ? Isn't that a scary movie ? How scary can it be ? Come on , it'll be fun . Ok . I'll give it a try . That's the spirit . I'll see you tomorrow after class . Ok . See you tomorrow .",The target utterance is 'Ok . See you tomorrow .'. What is the causal span that triggers the emotion happiness?,see a movie tomorrow ?,16,1.0,"Hey , you wanna see a movie tomorrow ?"
tr_7536,"Ann , it's terrible !","The target utterance is 'Ann , it's terrible !'. What is the causal span that triggers the emotion anger?",b,16,,
tr_7536,"Ann , it's terrible ! What's up ? Look , this is a pimple ! Oh , I think it is . How come ? I think it's because of your bad habits !",The target utterance is 'I think it's because of your bad habits !'. What is the causal span that triggers the emotion anger?,it's because of your bad habits !,100,6.0,I think it's because of your bad habits !
tr_7536,"Ann , it's terrible ! What's up ? Look , this is a pimple ! Oh , I think it is . How come ? I think it's because of your bad habits ! I have no bad habit . I sleep eight hours a day , never eat spicy food , clean the face twice a day and so on . I have done a lot . I know you have done a lot , but you always sleep very late . Sleeping eight hours a day doesn't mean it is healthy . Sleeping after 12 is hurtful to our body , and I think this is your problem . I wasn't aware of that !",The target utterance is 'I wasn't aware of that !'. What is the causal span that triggers the emotion surprise?,"Sleeping after 12 is hurtful to our body , and I think this is your problem .",384,8.0,"I know you have done a lot , but you always sleep very late . Sleeping eight hours a day doesn't mean it is healthy . Sleeping after 12 is hurtful to our body , and I think this is your problem ."
tr_754,What a great weekend that was !,The target utterance is 'What a great weekend that was !'. What is the causal span that triggers the emotion happiness?,What a great weekend that was !,0,1.0,What a great weekend that was !
tr_754,What a great weekend that was ! My feelings exactly .,The target utterance is 'My feelings exactly .'. What is the causal span that triggers the emotion happiness?,What a great weekend that was !,0,1.0,What a great weekend that was !
tr_754,What a great weekend that was ! My feelings exactly . I really enjoy the beach in the summer .,The target utterance is 'I really enjoy the beach in the summer .'. What is the causal span that triggers the emotion happiness?,What a great weekend that was !,0,1.0,What a great weekend that was !
tr_754,What a great weekend that was ! My feelings exactly . I really enjoy the beach in the summer . I couldn't agree with you more .,The target utterance is 'I couldn't agree with you more .'. What is the causal span that triggers the emotion happiness?,What a great weekend that was !,0,1.0,What a great weekend that was !
tr_754,What a great weekend that was ! My feelings exactly . I really enjoy the beach in the summer . I couldn't agree with you more . We should come here more often .,The target utterance is 'We should come here more often .'. What is the causal span that triggers the emotion happiness?,What a great weekend that was !,0,1.0,What a great weekend that was !
tr_754,What a great weekend that was ! My feelings exactly . I really enjoy the beach in the summer . I couldn't agree with you more . We should come here more often . You are absolutely right .,The target utterance is 'You are absolutely right .'. What is the causal span that triggers the emotion happiness?,What a great weekend that was !,0,1.0,What a great weekend that was !
tr_754,What a great weekend that was ! My feelings exactly . I really enjoy the beach in the summer . I couldn't agree with you more . We should come here more often . You are absolutely right . I'd like to come back next weekend .,The target utterance is 'I'd like to come back next weekend .'. What is the causal span that triggers the emotion happiness?,What a great weekend that was !,0,1.0,What a great weekend that was !
